"","CUST_ID","AREA_CODE","MINUTES_CURR_MONTH","MINUTES_PREV_MONTH","MINUTES_3MONTHS_AGO","CUST_MOS","LONGDIST_FLAG","CALLWAITING_FLAG","NUM_LINES","VOICEMAIL_FLAG","MOBILE_PLAN","CONVERGENT_BILLING","GENDER","INCOME","PHONE_PLAN","EDUCATION","TOT_MINUTES_USAGE","CHURNER"
"46",174,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"47",175,45987,600,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1454,"yes"
"48",199,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"49",177,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"50",178,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"51",179,55166,1100,1000,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",2156,"no"
"52",180,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"53",181,45987,14000,15000,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",29066,"no"
"54",216,15563,105,7,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",211,"no"
"55",183,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"yes"
"56",184,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"yes"
"57",185,36785,100,9000,60,10,1,0,2,1,1,"Yes","M","Medium Income","Euro-Zone","Primary",9160,"yes"
"58",186,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"59",187,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"no"
"60",188,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"yes"
"61",189,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"62",190,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"63",191,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",1172,"no"
"64",192,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"65",222,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"66",194,10040,999,1200,1145,3,1,1,2,1,1,"Yes","M","Medium Income","National","Masters",3344,"yes"
"67",195,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"yes"
"68",196,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"69",197,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"70",198,45987,600,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1454,"yes"
"71",239,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"72",200,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"73",201,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"74",202,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"75",203,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"76",204,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"77",245,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"78",206,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"yes"
"79",207,21750,5000,7000,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",12075,"yes"
"80",208,36785,100,190,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",350,"yes"
"81",209,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"82",210,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"no"
"83",211,10040,5678,3457,2156,14,1,1,1,1,1,"No","M","Low Income","National","Masters",11291,"no"
"84",212,21750,333,122,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",599,"yes"
"85",213,55166,550,100,1453,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",2103,"no"
"86",214,36785,398,2452,4789,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",7639,"no"
"87",215,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"88",9,15563,105,7,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",211,"no"
"89",217,10040,9456,14325,12456,3,1,1,2,1,1,"Yes","F","Medium Income","Euro-Zone","PhD",36237,"yes"
"90",218,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"no"
"91",219,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"92",220,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"93",221,45987,600,5673,3456,13,0,1,1,1,0,"Yes","M","Low Income","International","Masters",9729,"yes"
"94",15,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"95",223,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"96",224,21750,678,55,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",1331,"yes"
"97",225,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"98",226,36785,97,56,5,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",158,"no"
"99",227,45987,45,223,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",334,"no"
"100",32,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"101",229,10040,100,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"yes"
"102",230,21750,5,7,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",87,"yes"
"103",231,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"104",232,45987,999,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",1069,"no"
"105",233,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"yes"
"106",234,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"yes"
"107",235,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"108",236,55166,5,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","PhD",605,"no"
"109",237,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",1172,"no"
"110",238,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"111",38,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"112",240,10040,999,1200,1145,3,1,1,2,1,1,"Yes","M","Medium Income","National","Bachelors",3344,"yes"
"113",241,21750,500,2,1,23,0,0,1,0,0,"Yes","M","Medium Income","International","Post Primary",503,"yes"
"114",242,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"115",243,36785,555,7654,8732,27,1,1,2,1,0,"Yes","F","High Income","Euro-Zone","PhD",16941,"yes"
"116",244,45987,600,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1454,"yes"
"117",55,15563,5,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",119,"no"
"118",246,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"119",247,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"120",248,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"121",249,36785,97,5587,4693,8,0,0,1,0,1,"Yes","M","Low Income","Euro-Zone","PhD",10377,"yes"
"122",250,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"123",61,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"124",252,10040,99,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"yes"
"125",253,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"yes"
"126",254,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"127",255,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"128",256,15563,10,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",1754,"yes"
"129",1,36785,100,190,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",350,"yes"
"130",2,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"131",3,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"no"
"132",4,10040,5678,3457,2156,14,1,1,1,1,1,"No","M","Low Income","National","Masters",11291,"no"
"133",5,21750,333,122,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",599,"yes"
"134",6,55166,550,100,1453,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",2103,"no"
"135",7,36785,398,2452,4789,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",7639,"no"
"136",8,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"137",78,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"138",10,10040,9456,14325,12456,3,1,1,2,1,1,"Yes","F","Medium Income","Euro-Zone","PhD",36237,"yes"
"139",11,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"no"
"140",12,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"141",13,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"142",14,45987,600,5673,3456,13,0,1,1,1,0,"Yes","M","Low Income","International","Masters",9729,"yes"
"143",84,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"144",16,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"145",17,21750,678,55,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",1331,"yes"
"146",18,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"147",19,36785,97,56,5,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",158,"no"
"148",20,45987,45,223,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",334,"no"
"149",101,15563,5435,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",5549,"no"
"150",22,10040,100,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"151",23,21750,5,7,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",87,"no"
"153",24,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"154",25,45987,999,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",1069,"no"
"155",26,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"yes"
"156",27,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"no"
"157",28,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"158",29,55166,5,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","PhD",605,"no"
"159",30,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",1172,"no"
"160",31,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"161",107,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"162",33,10040,999,1200,1145,3,1,1,2,1,1,"Yes","M","Medium Income","National","Bachelors",3344,"yes"
"163",34,21750,500,2,1,23,0,0,1,0,0,"Yes","M","Medium Income","International","Post Primary",503,"yes"
"164",35,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"165",36,36785,555,7654,8732,27,1,1,2,1,0,"Yes","F","High Income","Euro-Zone","PhD",16941,"yes"
"166",37,45987,600,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1454,"yes"
"167",124,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"168",39,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"no"
"169",40,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"170",41,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"171",42,36785,97,5587,4693,8,0,0,1,0,1,"Yes","M","Low Income","Euro-Zone","PhD",10377,"yes"
"172",43,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"173",262,15563,5,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",119,"no"
"174",45,10040,99,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"175",46,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"no"
"176",47,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"177",48,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"178",49,15563,10,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",1754,"yes"
"179",50,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"no"
"180",51,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"181",52,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"182",53,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Masters",1172,"no"
"183",54,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"184",268,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"185",56,10040,999,1200,1145,3,1,1,2,1,1,"No","M","Medium Income","National","PhD",3344,"no"
"186",57,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"yes"
"187",58,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"188",59,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"189",60,45987,60,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",914,"yes"
"190",285,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"191",62,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"no"
"192",63,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"193",64,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"194",65,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"195",66,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"196",291,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"197",68,10040,145,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"198",69,21750,5,150,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",230,"no"
"199",70,36785,100,9,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",169,"yes"
"200",71,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"201",72,15563,1004,4,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",1952,"no"
"202",73,10040,565,200,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1415,"no"
"203",74,21750,333,130,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",607,"yes"
"204",75,55166,550,55,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1105,"no"
"205",76,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",1172,"no"
"206",77,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"207",308,15563,5435,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",5549,"no"
"208",79,10040,999,900,1145,3,1,1,2,1,1,"Yes","M","Medium Income","National","Bachelors",3044,"no"
"209",80,21750,5,55,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",61,"yes"
"210",81,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Masters",1031,"no"
"211",82,36785,55,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1177,"no"
"212",83,45987,600,366,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1364,"yes"
"213",314,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"214",85,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"no"
"215",86,21750,7543,16754,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",24895,"yes"
"216",87,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"217",88,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"218",89,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"219",452,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"220",91,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"221",92,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"no"
"222",93,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"223",94,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"224",95,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"no"
"225",96,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"no"
"226",97,21750,4567,3534,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",8245,"yes"
"227",98,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"228",99,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Post Primary",1172,"no"
"229",100,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"230",469,15563,5,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",119,"no"
"231",102,10040,9,1200,1145,3,1,1,2,1,1,"Yes","M","Medium Income","National","Masters",2354,"no"
"232",103,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"yes"
"233",104,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"234",105,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"235",106,45987,600,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",1454,"yes"
"236",475,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"237",108,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"yes"
"238",109,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",2498,"yes"
"239",110,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"240",111,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"241",112,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"242",492,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"243",114,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"yes"
"244",115,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"yes"
"245",116,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"246",117,45987,88,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",158,"no"
"247",498,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"248",119,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"yes"
"249",120,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"250",121,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"251",122,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Masters",1172,"no"
"252",123,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"253",515,15563,5435,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",5549,"no"
"254",125,10040,999,1200,1145,3,1,1,2,1,1,"No","M","Medium Income","National","Bachelors",3344,"no"
"255",126,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"yes"
"256",127,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"257",128,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"258",257,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"yes"
"259",258,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"260",259,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"261",260,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Masters",1172,"no"
